Pertanyaan,Jawaban,text
Habitat Ikan Molly bagaimana ?,"Habitat Ikan molly ini beragam, Ikan air tawar ini memiliki distribusi alami yang luas. Meski sebagaian besar ditemukan di sungai, mereka juga bisa berenang ke perairan payau atau nahkan laut terbuka untuk waktu yang singkat","Habitat Ikan Molly bagaimana ? [SEP] Habitat Ikan molly ini beragam, Ikan air tawar ini memiliki distribusi alami yang luas. Meski sebagaian besar ditemukan di sungai, mereka juga bisa berenang ke perairan payau atau nahkan laut terbuka untuk waktu yang singkat"
Ikan Molly bertelur apa beranak ?,Setelah proses pemijahan Ikan Molly betina mampu melahirkan anak ikan mencapai 25 sampai 30 ekor,Ikan Molly bertelur apa beranak ? [SEP] Setelah proses pemijahan Ikan Molly betina mampu melahirkan anak ikan mencapai 25 sampai 30 ekor
Apakah Ikan Molly kuat ?,Ikan yang kuat yang tumbuh dengan baik dengan baik dalam berbagai suhu dan dapat tumbuh mencapai lebih dari 15 cm ,Apakah Ikan Molly kuat ? [SEP] Ikan yang kuat yang tumbuh dengan baik dengan baik dalam berbagai suhu dan dapat tumbuh mencapai lebih dari 15 cm 
Bagaimana cara membedakan Ikan Molly jantan dan betina?,"Ikan Molly jantan memiliki bentuk sirip yang  panjang, dan sirip lebar, sedangkan Ikan molly betina mempunyai bentuk sirip yang pendek dan sempit","Bagaimana cara membedakan Ikan Molly jantan dan betina? [SEP] Ikan Molly jantan memiliki bentuk sirip yang  panjang, dan sirip lebar, sedangkan Ikan molly betina mempunyai bentuk sirip yang pendek dan sempit"
Apakah Ikan Molly bisa dicampur dengan ikan lain?,"Bisa, bercampur dengan ikan hias lainnya yang berukuran lebih besar didalam satu wadah, Ikan Molly sendiri berukuran 5-10 cm. Ikan tawar hias lainnya yang mudah berbaur dengan Ikan Molly antara lain Ikan platy, Ikan pedang, dan angelfish","Apakah Ikan Molly bisa dicampur dengan ikan lain? [SEP] Bisa, bercampur dengan ikan hias lainnya yang berukuran lebih besar didalam satu wadah, Ikan Molly sendiri berukuran 5-10 cm. Ikan tawar hias lainnya yang mudah berbaur dengan Ikan Molly antara lain Ikan platy, Ikan pedang, dan angelfish"
Apa makanan ikan molly ?,Pelet serbuk/lembut sesuai bukaan mulut ikan dan mengandung protein tinggi ,Apa makanan ikan molly ? [SEP] Pelet serbuk/lembut sesuai bukaan mulut ikan dan mengandung protein tinggi 
Perbandingan berapa ikan dipijahkan ?,"2 : 1 (2 betina 1 jantan), 3 : 2 (3 betina 2 jantan)","Perbandingan berapa ikan dipijahkan ? [SEP] 2 : 1 (2 betina 1 jantan), 3 : 2 (3 betina 2 jantan)"
Apa yang dimaksud dengan pemijahan ikan ?,"Proses untuk pengeluaran sel telur oleh indukn betina dan sperma oleh induk jantan, Proses ini diikuti dengan perkawinan antara induk lele betina dan jantan","Apa yang dimaksud dengan pemijahan ikan ? [SEP] Proses untuk pengeluaran sel telur oleh indukn betina dan sperma oleh induk jantan, Proses ini diikuti dengan perkawinan antara induk lele betina dan jantan"
Berapa lama proses pemijahan ikan molly ?,"Dalam pemijahan ini berlangsung selama 4-7 hari, setelah seminggu benih tampak berkumpul diantara tanaman air atau berenang di pinggiran bak","Berapa lama proses pemijahan ikan molly ? [SEP] Dalam pemijahan ini berlangsung selama 4-7 hari, setelah seminggu benih tampak berkumpul diantara tanaman air atau berenang di pinggiran bak"
Apa substrat untuk memijahan ikan molly ?,Tanaman Ceretophyllum dan tanaman eceng gondok,Apa substrat untuk memijahan ikan molly ? [SEP] Tanaman Ceretophyllum dan tanaman eceng gondok
